Crop,Soil,Temperature,Rainfall,Moisture,Water
Rice,Clay,30,200,40,500
Rice,Sandy,32,180,35,520
Rice,Loamy,28,190,38,510
Rice,Clay,31,210,42,530
Rice,Sandy,34,170,30,540
Rice,Loamy,29,200,36,505
Rice,Clay,33,220,45,550
Rice,Sandy,35,160,28,560
Rice,Loamy,27,195,37,500
Rice,Clay,30,205,41,515

Wheat,Loamy,25,100,30,400
Wheat,Clay,22,90,35,380
Wheat,Sandy,28,110,28,420
Wheat,Loamy,26,105,32,410
Wheat,Clay,24,95,38,390
Wheat,Sandy,27,120,27,430
Wheat,Loamy,23,100,34,405
Wheat,Clay,21,85,40,370
Wheat,Sandy,29,115,26,435
Wheat,Loamy,25,108,31,412

Maize,Sandy,35,50,20,450
Maize,Loamy,33,60,25,430
Maize,Clay,30,70,30,420
Maize,Sandy,36,45,18,460
Maize,Loamy,34,65,24,435
Maize,Clay,31,75,28,425
Maize,Sandy,37,40,15,470
Maize,Loamy,32,55,22,440
Maize,Clay,29,80,32,410
Maize,Sandy,38,35,14,480

Cotton,Sandy,32,80,25,350
Cotton,Loamy,30,70,30,360
Cotton,Clay,28,90,35,340
Cotton,Sandy,33,75,24,355
Cotton,Loamy,31,85,28,365
Cotton,Clay,27,95,36,345
Cotton,Sandy,34,65,22,360
Cotton,Loamy,29,78,29,355
Cotton,Clay,26,100,38,335
Cotton,Sandy,35,60,20,370

Sugarcane,Loamy,28,120,35,480
Sugarcane,Clay,27,110,45,500
Sugarcane,Sandy,30,130,30,510
Sugarcane,Loamy,29,125,33,490
Sugarcane,Clay,26,115,48,505
Sugarcane,Sandy,31,140,28,520
Sugarcane,Loamy,28,118,36,485
Sugarcane,Clay,25,105,50,510
Sugarcane,Sandy,32,135,27,525
Sugarcane,Loamy,30,122,34,495

Rice,Clay,31,210,42,530
Rice,Sandy,33,175,34,525
Rice,Loamy,28,200,36,505
Rice,Clay,32,215,44,540
Rice,Sandy,35,165,29,550
Rice,Loamy,29,190,37,510
Rice,Clay,34,225,46,555
Rice,Sandy,36,155,27,565
Rice,Loamy,27,195,38,505
Rice,Clay,30,205,41,515

Wheat,Loamy,26,105,32,410
Wheat,Clay,23,92,36,385
Wheat,Sandy,28,115,28,420
Wheat,Loamy,25,100,30,405
Wheat,Clay,22,88,39,375
Wheat,Sandy,29,120,27,430
Wheat,Loamy,24,98,33,400
Wheat,Clay,21,85,41,370
Wheat,Sandy,30,125,26,440
Wheat,Loamy,25,110,31,415

Maize,Sandy,36,45,18,460
Maize,Loamy,34,60,25,435
Maize,Clay,30,75,30,420
Maize,Sandy,37,40,15,470
Maize,Loamy,33,55,22,440
Maize,Clay,29,80,32,410
Maize,Sandy,38,35,14,480
Maize,Loamy,32,65,23,445
Maize,Clay,28,85,33,405
Maize,Sandy,39,30,12,490

Cotton,Sandy,33,75,24,355
Cotton,Loamy,31,85,28,365
Cotton,Clay,27,95,36,345
Cotton,Sandy,34,65,22,360
Cotton,Loamy,30,78,29,355
Cotton,Clay,26,100,38,335
Cotton,Sandy,35,60,20,370
Cotton,Loamy,29,70,30,350
Cotton,Clay,25,105,40,330
Cotton,Sandy,36,55,18,375

Sugarcane,Loamy,29,125,33,490
Sugarcane,Clay,26,115,48,505
Sugarcane,Sandy,31,140,28,520
Sugarcane,Loamy,28,118,36,485
Sugarcane,Clay,25,105,50,510
Sugarcane,Sandy,32,135,27,525
Sugarcane,Loamy,30,122,34,495
Sugarcane,Clay,24,100,52,515
Sugarcane,Sandy,33,145,26,530
Sugarcane,Loamy,31,130,32,500

Rice,Clay,31.5,215,42,535
Rice,Sandy,34.2,165,29,560
Rice,Loamy,28.7,198,36,508
Rice,Clay,32.8,225,45,550
Rice,Sandy,35.5,155,27,575
Rice,Loamy,29.1,205,38,515
Rice,Clay,33.3,230,47,560
Rice,Sandy,36.1,150,25,585
Rice,Loamy,27.8,190,37,505
Rice,Clay,30.4,210,41,520

Wheat,Loamy,25.6,102,31,405
Wheat,Clay,22.3,88,37,380
Wheat,Sandy,28.9,118,27,425
Wheat,Loamy,26.4,110,33,412
Wheat,Clay,23.5,95,39,390
Wheat,Sandy,29.2,125,26,435
Wheat,Loamy,24.7,98,34,400
Wheat,Clay,21.9,85,42,370
Wheat,Sandy,30.1,130,25,445
Wheat,Loamy,25.2,108,32,410

Maize,Sandy,36.5,48,18,465
Maize,Loamy,34.2,62,24,440
Maize,Clay,30.8,78,30,420
Maize,Sandy,37.9,40,15,480
Maize,Loamy,33.6,55,23,445
Maize,Clay,29.7,85,33,410
Maize,Sandy,38.4,35,14,490
Maize,Loamy,32.1,60,25,435
Maize,Clay,28.9,90,35,405
Maize,Sandy,39.0,30,12,500

Cotton,Sandy,33.4,72,24,355
Cotton,Loamy,30.9,82,28,365
Cotton,Clay,27.5,95,36,345
Cotton,Sandy,34.8,65,22,360
Cotton,Loamy,31.3,78,29,355
Cotton,Clay,26.2,102,38,335
Cotton,Sandy,35.6,60,20,370
Cotton,Loamy,29.8,70,30,350
Cotton,Clay,25.4,108,40,330
Cotton,Sandy,36.7,55,18,380

Sugarcane,Loamy,29.4,125,34,495
Sugarcane,Clay,26.8,115,48,505
Sugarcane,Sandy,31.7,140,28,520
Sugarcane,Loamy,28.5,118,36,485
Sugarcane,Clay,25.9,105,50,510
Sugarcane,Sandy,32.6,135,27,525
Sugarcane,Loamy,30.2,122,33,490
Sugarcane,Clay,24.8,100,52,515
Sugarcane,Sandy,33.5,145,26,530
Sugarcane,Loamy,31.0,130,32,500
